S.no,State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,total-charging-stations,Electric,Non-Electric
1,Andaman and Nicobar Island,11,38,101,0,40,0,0,0,7,4,190,161258
2,Andhra Pradesh,8003,59551,314,11,26,0,0,0,8,601,67905,16553509
3,Arunachal Pradesh,19,0,9,0,0,0,0,0,1,41,28,303673
4,Assam,10721,107519,2161,7,15,0,0,0,2,278,120423,5312457
5,Bihar,21003,139906,114,11,26,0,0,0,8,347,161060,11631081
6,Chandigarh,1249,5920,755,0,40,0,0,0,1,13,7964,841172
7,Chhattisgarh,28424,23341,1637,1077,1,0,0,368,100,271,54848,7413951
8,Delhi,75730,152831,4563,49,39,0,0,0,1602,1941,233212,13994966
9,Goa,10314,261,1989,13,36,2,0,0,4,137,12615,1206476
10,Gujarat,103662,7263,26809,28,278,344,0,26,77,992,138410,22804558
11,Haryana,18777,48408,1954,122,8,2,0,0,90,709,69271,12062205
12,Himachal Pradesh,1368,867,82,7,86,0,0,0,46,108,2410,2178827
13,Jammu and Kashmir,10417,120,310,6,43,0,0,0,8,159,10896,2055765
14,Jharkhand,11961,23986,784,24,4,0,0,0,57,256,36759,7057289
15,Karnataka,176737,54478,17333,153,44,1,1,0,1420,5765,248747,29785247
16,Kerala,73299,22115,2851,43,23,0,1,0,17,1212,98332,16781110
17,Ladakh,11,0,54,0,0,0,0,0,0,1,65,44430
18,Madhya Pradesh,66737,20478,8737,153,44,1,1,0,1420,903,96151,19616269
19,Maharashtra,271149,31555,1394,30,851,26,1,0,601,3728,305006,34323748
20,Manipur,126,1043,33,1,0,0,0,0,1,48,1203,554994
21,Meghalaya,95,32,9,3,0,0,0,0,0,43,139,519714
22,Mizoram,79,12,24,2,1,0,0,0,3,12,118,355369
23,Nagaland,14,0,43,3,0,1,0,1,1,28,62,418529
24,Odisha,52729,9008,783,21,0,25,0,1,23,488,62567,10638175
25,Puducherry,4029,106,424,9,20,0,0,0,0,41,4588,1330320
26,Punjab,22408,10284,2998,35,2,0,0,0,21,593,35727,13196875
27,Rajasthan,79446,96631,4565,25,1,0,1,1,24,1129,180670,18857703
28,Sikkim,3,0,16,1,0,0,0,0,9,5,20,109988
29,Tamil Nadu,155302,15470,1062,1281,37,0,0,0,193,1413,173152,31618002
30,Tripura,204,14570,64,1,0,0,0,0,1,50,14839,707543
31,Dadra and Nagar Haveli and Daman and Diu,89,46,200,2,10,7,0,0,0,6,354,374489
32,Uttar Pradesh,48295,524159,2131,53,327,2,0,0,13,1989,574967,43852548
33,Uttarakhand,5614,42157,1709,1,10,0,0,0,21,177,49491,3647377
34,West Bengal,4540,62948,761,28,97,0,2,0,61,763,68376,15227219
